"District","Incumbent","Party","Biden","Trump","Margin"
"TX-12","Kay Granger","(R)","40.1","58.3","-18.1"
"TX-13","Ronny Jackson","(R)","26.5","72.0","-45.5"
"TX-14","Randy Weber","(R)","35.0","63.6","-28.5"
"TX-15","Monica De La Cruz","(R)","48.1","51.0","-2.9"
"TX-16","Veronica Escobar","(D)","67.0","31.5","35.4"
"TX-17","Pete Sessions","(R)","38.0","60.5","-22.5"
"TX-18","Sheila Jackson Lee","(D)","73.6","25.1","48.6"
"TX-19","Jodey Arrington","(R)","26.2","72.4","-46.2"
"TX-20","Joaquin Castro","(D)","65.8","32.7","33.1"
"TX-21","Chip Roy","(R)","39.4","59.1","-19.7"
"TX-22","Troy Nehls","(R)","41.3","57.4","-16.0"
"TX-23","Tony Gonzales","(R)","45.8","52.9","-7.2"
"TX-24","Beth Van Duyne","(R)","43.0","55.4","-12.3"
"TX-25","Roger Williams","(R)","33.8","64.9","-31.2"
"TX-26","Michael Burgess","(R)","40.0","58.6","-18.5"
"TX-27","Michael Cloud","(R)","38.1","60.6","-22.4"
"TX-28","Henry Cuellar","(D)","52.9","45.9","7.0"
"TX-29","Sylvia Garcia","(D)","67.8","31.0","36.7"
"TX-30","Jasmine Crockett","(D)","77.8","21.0","56.7"
"TX-31","John Carter","(R)","39.0","59.2","-20.3"
"TX-32","Colin Allred","(D)","65.7","32.7","33.0"
"TX-33","Marc Veasey","(D)","74.2","24.4","49.9"
"TX-34","Vicente Gonzalez","(D)","57.3","41.8","15.5"
"TX-35","Greg Casar","(D)","71.7","26.5","45.2"
"TX-36","Brian Babin","(R)","33.6","65.2","-31.6"
"TX-37","Lloyd Doggett","(D)","75.5","22.7","52.8"
"TX-38","Wesley Hunt","(R)","40.2","58.4","-18.1"
"UT-01","Blake Moore","(R)","37.9","57.8","-19.9"
"UT-02","Celeste Maloy","(R)","39.5","56.7","-17.1"
"UT-03","John Curtis","(R)","38.3","57.5","-19.2"
"UT-04","Burgess Owens","(R)","34.8","60.7","-25.9"
"VA-01","Rob Wittman","(R)","46.2","52.3","-6.2"
"VA-02","Jen Kiggans","(R)","50.1","48.2","1.9"
"VA-03","Bobby Scott","(D)","68.3","30.0","38.4"
"VA-04","Jennifer McClellan","(D)","67.2","31.5","35.7"
"VA-05","Bob Good","(R)","45.2","53.4","-8.3"
"VA-06","Ben Cline","(R)","38.4","60.0","-21.5"
"VA-07","Abigail Spanberger","(D)","52.6","45.8","6.8"
"VA-08","Don Beyer","(D)","77.4","21.3","56.0"
"VA-09","Morgan Griffith","(R)","28.5","70.3","-41.9"
"VA-10","Jennifer Wexton","(D)","58.3","40.2","18.1"
